0	问题
1	不
2	没有
3	好
4	都
5	需要
6	一下
7	检查
8	发动机
9	换
10	更换
11	会
12	正常
13	车
14	情况
15	故障
16	没
17	机油
18	说
19	去
20	谢谢
21	看
22	电脑
23	这种
24	现在
25	建议
26	不会
27	传感器
28	可能
29	声音
30	变速箱
31	应该
32	清洗
33	有没有
34	后
35	出现
36	检查一下
37	下
38	上
39	是否
40	是不是
41	节气门
42	启动
43	影响
44	不是
45	故障码
46	还
47	车子
48	看看
49	跑
50	公里
51	左右
52	很
53	大
54	做
55	车辆
56	火花塞
57	油
58	再
59	师傅
60	请问
61	位置
62	原因
63	年
64	开
65	维修
66	保养
67	比较
68	感觉
69	行驶
70	知道
71	线路
72	才
73	里面
74	时
75	导致
76	先
77	轮胎
78	4s店
79	不好
80	开关
81	压力
82	款
83	电瓶
84	怠速
85	刹车
86	坏
87	空调
88	拆
89	修理厂
90	不能
91	使用
92	点火
93	新
94	大师
95	造成
96	抖动
97	汽油
98	钥匙
99	地方
100	检测
101	系统
102	钱
103	进行
104	灯
105	两个
106	万公里
107	显示
108	熄火
109	不行
110	以后
111	大概
112	不客气
113	直接
114	插头
115	出来
116	上面
117	工作
118	买
119	解决
120	控制
121	匹配
122	找
123	加
124	打开
125	档
126	喷油嘴
127	高
128	缸
129	一点
130	现象
131	想
132	线
133	关系
134	试试
135	处理
136	汽车
137	加油
138	肯定
139	水温
140	离合器
141	起来
142	主要
143	1
144	之前
145	踩
146	不用
147	2
148	一次
149	有点
150	异响
151	挂
152	皮带
153	方向盘
154	仪表
155	具体
156	螺丝
157	损坏
158	气门
159	时间
160	自动
161	怎么回事
162	之后
163	转
164	不了
165	东西
166	油耗
167	问
168	没事
169	模块
170	最好
171	价格
172	原厂
173	4S店
174	响
175	只能
176	积碳
177	亮
178	转速
179	200
180	油门
181	安装
182	重新
183	确定
184	这是
185	方向
186	数据
187	今天
188	空气
189	防冻液
190	描述
191	进气
192	信号
193	咨询
194	高速
195	小
196	保险
197	已经
198	拆下来
199	3
200	水箱
201	点
202	发现
203	后面
204	线圈
205	底盘
206	以前
207	动力
208	下面
209	0
210	新车
211	4
212	正时
213	解答
214	出
215	中
216	这款
217	修
218	门
219	凸轮轴
220	测量
221	不要
222	刹车片
223	定位
224	冷车
225	磨损
226	油泵
227	电机
228	滤芯
229	温度
230	轴承
231	泵
232	前
233	继电器
234	明显
235	店
236	保险丝
237	外面
238	电磁阀
239	意思
240	明天
241	三元催化
242	曲轴
243	读取
244	100
245	不到
246	助力
247	氧
248	风扇
249	燃油
250	电压
251	内部
252	容易
253	车身
254	大灯
255	严重
256	质量
257	漏气
258	好像
259	关注
260	导航
261	走
262	间隙
263	配件
264	烧
265	4s
266	漏油
267	引起
268	里
269	10
270	正
271	加速
272	转向
273	玻璃
274	反应
275	哒
276	麻烦
277	离合
278	特别
279	才能
280	车门
281	月
282	电子
283	5
284	完
285	分析
286	马达
287	听
288	太
289	合成
290	一定
291	办法
292	原车
293	挡
294	低
295	内
296	手动
297	起步
298	电
299	帮
300	修复
301	本身
302	费用
303	发电机
304	热车
305	12
306	总成
307	号
308	请
309	很多
310	有时候
311	车型
312	必要
313	随时
314	前面
315	刚
316	发出
317	车主
318	重点
319	四轮
320	存在
321	加装
322	说明
323	喷漆
324	突然
325	16
326	变速器
327	装
328	防盗
329	希望
330	查
331	链条
332	排气管
333	属于
334	看到
335	数据流
336	无法
